"表章項目","都道府県","/時間軸(年次)","2021年","2020年","2019年","2018年","2017年","2016年","2015年","2014年","2013年","2010年","2005年","2000年","1995年","1990年","1985年","1980年","1975年","1970年","1965年","1960年","1955年","1950年","1947年","1935年"
"出生数【人】","鹿児島県","","11,618","11,638","11,977","12,956","13,209","13,688","14,125","14,236","14,637","15,124","14,834","16,272","16,649","18,892","23,375","24,540","24,592","24,291","29,243","37,821","49,979","55,038","58,769","52,386"
"出生数【人】","沖縄県","","14,535","14,943","14,902","15,732","16,218","16,617","16,942","16,375","17,209","17,098","16,115","16,773","16,751","17,088","20,657","20,281","22,371","…","…","…","…","…","…","16,413"
"出生数【人】","外国","","11","27","27","39","51","65","53","65","54","125","170","210","267","…","…","…","…","…","…","…","…","…","…","…"
"出生率【人口千対】","全国","","6.6","6.8","7.0","7.4","7.6","7.8","8.0","8.0","8.2","8.5","8.4","9.5","9.6","10.0","11.9","13.6","17.1","18.8","18.6","17.2","19.4","28.1","34.3","31.6"
"出生率【人口千対】","北海道","","5.6","5.7","6.0","6.2","6.4","6.6","6.8","6.9","7.1","7.3","7.4","8.2","8.8","9.7","11.7","13.6","16.8","17.7","18.7","18.6","21.7","34.2","36.7","35.8"
"出生率【人口千対】","青森県","","5.4","5.5","5.8","6.2","6.3","6.7","6.6","6.7","6.8","7.1","7.3","8.8","9.5","9.9","12.6","14.3","16.4","18.5","19.9","20.9","25.5","36.0","41.5","42.4"
"出生率【人口千対】","岩手県","","5.4","5.6","5.7","6.2","6.5","6.6","6.9","6.9","7.2","7.4","7.6","8.8","9.2","10.1","11.8","13.8","16.0","16.1","17.5","19.2","24.3","33.9","36.5","38.6"
"出生率【人口千対】","宮城県","","6.1","6.4","6.5","7.1","7.2","7.5","7.8","7.8","8.2","8.2","8.2","9.4","9.6","10.4","12.9","15.0","16.8","16.8","16.7","18.0","22.3","32.0","35.4","36.5"
"出生率【人口千対】","秋田県","","4.6","4.7","4.9","5.2","5.4","5.6","5.7","5.8","5.9","6.2","6.7","7.6","8.2","9.0","10.9","13.0","14.2","14.3","15.5","17.6","22.5","32.6","38.0","40.2"
"出生率【人口千対】","山形県","","5.6","5.9","6.0","6.4","6.6","6.8","7.0","7.1","7.2","7.4","7.7","8.8","9.2","10.0","11.9","13.5","14.1","14.1","14.9","16.9","20.2","30.0","32.9","36.8"
"出生率【人口千対】","福島県","","5.9","6.2","6.3","6.8","7.1","7.3","7.5","7.5","7.5","8.0","8.4","9.6","10.0","10.8","13.3","14.5","15.9","15.4","16.5","19.1","23.4","32.8","35.8","35.4"
"出生率【人口千対】","茨城県","","5.9","6.2","6.4","6.8","7.2","7.3","7.5","7.6","7.7","8.2","8.3","9.6","9.6","10.2","12.3","14.2","17.8","18.0","17.2","17.4","21.6","29.3","34.3","34.6"
"出生率【人口千対】","栃木県","","6.1","6.2","6.6","7.0","7.3","7.5","7.9","7.9","7.9","8.3","8.7","9.6","9.5","10.4","12.7","14.5","17.5","17.4","16.9","17.2","21.6","30.2","35.8","35.0"
"出生率【人口千対】","群馬県","","6.0","6.2","6.3","6.8","6.9","7.1","7.4","7.5","7.6","8.1","8.6","9.7","9.8","10.0","12.0","13.6","16.9","17.8","17.4","16.2","20.0","28.0","34.7","33.9"
"出生率【人口千対】","埼玉県","","6.4","6.6","6.7","7.1","7.4","7.6","7.8","7.8","8.1","8.4","8.6","9.7","10.1","9.9","11.5","13.9","20.0","23.6","22.1","17.9","21.1","29.1","36.8","35.1"
"出生率【人口千対】","千葉県","","6.3","6.6","6.6","7.1","7.2","7.4","7.7","7.6","7.9","8.4","8.5","9.4","9.5","9.7","11.7","13.9","18.7","21.6","20.0","17.2","19.8","26.9","35.0","32.9"
"出生率【人口千対】","東京都","","7.1","7.4","7.6","8.0","8.2","8.5","8.6","8.5","8.5","8.4","7.8","8.5","8.4","8.9","10.7","12.2","16.1","20.3","20.7","17.0","15.9","23.6","31.5","27.6"
"出生率【人口千対】","神奈川県","","6.5","6.8","7.0","7.4","7.6","7.9","8.2","8.1","8.3","8.8","8.8","9.9","9.9","10.0","11.7","13.7","18.7","22.7","22.0","17.6","17.7","26.4","33.7","30.1"
"出生率【人口千対】","新潟県","","5.8","5.9","6.2","6.5","6.6","6.9","7.1","7.2","7.4","7.7","7.6","8.9","9.1","9.7","11.9","13.4","15.7","15.8","16.8","16.8","20.8","29.3","35.6","35.7"
"出生率【人口千対】","富山県","","6.0","6.1","6.4","6.6","6.9","7.0","7.2","7.1","7.3","7.6","8.1","9.1","9.0","9.0","10.7","12.3","16.2","17.0","15.9","15.6","18.1","27.6","42.3","34.7"
"出生率【人口千対】","石川県","","6.5","6.9","7.0","7.4","7.7","7.8","7.9","7.8","8.2","8.3","8.6","9.8","9.4","9.9","11.5","13.6","17.6","18.1","16.9","16.4","18.7","27.4","40.2","31.2"
"出生率【人口千対】","福井県","","7.0","7.1","7.0","7.6","7.6","7.9","8.0","7.9","8.2","8.6","8.8","9.8","10.1","10.6","12.2","13.6","16.2","16.5","17.0","17.1","19.7","28.2","35.0","31.8"
"出生率【人口千対】","山梨県","","6.3","6.5","6.5","6.9","7.0","7.1","7.3","7.3","7.4","7.8","8.2","9.5","10.1","10.1","12.0","12.5","15.2","16.1","16.7","16.4","19.4","26.3","32.6","33.4"
"出生率【人口千対】","長野県","","6.3","6.4","6.7","7.0","7.1","7.4","7.5","7.6","7.8","8.1","8.6","9.7","9.7","10.0","11.1","13.1","15.8","16.1","16.1","15.5","17.6","24.3","30.1","31.1"
"出生率【人口千対】","岐阜県","","6.2","6.3","6.6","7.0","7.1","7.5","7.7","7.5","7.9","8.3","8.6","9.7","9.7","9.9","11.7","13.2","17.0","18.5","18.9","17.4","18.5","26.8","34.4","33.8"
"出生率【人口千対】","静岡県","","6.1","6.4","6.6","7.0","7.3","7.6","7.8","7.9","8.2","8.6","8.6","9.6","9.6","10.1","12.3","13.7","17.7","18.9","19.0","18.0","20.5","28.4","34.7","33.7"
"出生率【人口千対】","愛知県","","7.4","7.6","7.8","8.4","8.5","8.8","9.0","8.9","9.2","9.6","9.4","10.8","10.6","10.7","12.4","14.2","19.0","21.8","21.2","17.4","17.3","25.9","33.4","31.3"
"出生率【人口千対】","三重県","","6.4","6.5","6.7","7.2","7.2","7.5","7.8","7.7","8.1","8.4","8.4","9.7","9.6","10.1","11.4","12.8","16.0","17.0","17.9","16.2","17.1","25.5","32.6","32.2"
"出生率【人口千対】","滋賀県","","7.4","7.6","7.7","8.2","8.3","8.7","9.1","9.1","9.3","9.6","9.5","10.6","10.5","11.2","12.7","14.9","18.0","17.6","16.7","16.0","17.6","24.9","30.1","29.9"
"出生率【人口千対】","京都府","","6.3","6.5","6.7","7.1","7.3","7.6","7.7","7.6","7.8","8.2","8.3","9.2","9.0","9.5","11.1","12.9","16.8","18.7","17.5","14.6","14.4","22.5","31.0","26.1"
"出生率【人口千対】","大阪府","","7.0","7.2","7.3","7.6","7.7","7.9","8.1","8.1","8.3","8.6","8.8","10.2","10.0","10.1","11.6","13.5","18.6","22.8","22.1","17.3","15.9","24.3","31.1","24.5"
"出生率【人口千対】","兵庫県","","6.7","6.9","7.1","7.4","7.7","8.0","8.1","8.1","8.3","8.7","8.6","10.0","9.8","10.1","11.6","13.6","17.7","19.8","19.1","16.5","17.2","24.7","31.8","28.1"
"出生率【人口千対】","奈良県","","6.0","6.0","6.3","6.7","6.7","7.0","7.3","7.0","7.4","7.7","7.9","9.3","9.4","9.7","11.2","13.3","16.8","18.9","17.6","15.4","16.8","24.3","30.8","29.1"
"出生率【人口千対】","和歌山県","","6.1","6.3","6.4","6.5","6.9","7.0","7.3","7.4","7.3","7.6","7.6","9.0","9.2","9.5","11.1","12.4","15.3","17.3","17.6","15.9","17.3","24.2","32.1","28.3"
"出生率【人口千対】","鳥取県","","6.8","6.9","7.2","7.5","7.7","7.8","8.1","7.9","8.3","8.2","8.3","9.3","9.3","10.4","12.1","13.6","15.1","14.1","14.8","16.0","19.4","26.8","32.9","29.8"
"出生率【人口千対】","島根県","","6.7","6.8","6.9","7.3","7.5","7.7","8.1","7.7","7.9","8.1","7.7","8.6","8.8","9.6","11.3","12.7","14.3","13.7","14.4","15.9","18.5","28.3","36.4","32.1"
